[5], Coverage : 1.0
[3252], Coverage : 1.0
[3257], Coverage : 1.0
[3334], Coverage : 1.0
[3345], Coverage : 1.0
[3350], Coverage : 1.0
[3351], Coverage : 1.0
[3354], Coverage : 1.0
[3369], Coverage : 1.0
[3390], Coverage : 1.0
[3415], Coverage : 1.0
[3418], Coverage : 1.0
[3466], Coverage : 1.0
[3497], Coverage : 1.0
[3521], Coverage : 1.0
[3563], Coverage : 1.0
[3602], Coverage : 1.0
[3683], Coverage : 1.0
[3684], Coverage : 1.0
[3685], Coverage : 1.0
[3686], Coverage : 1.0
[3687], Coverage : 1.0
[3711], Coverage : 1.0
[3712], Coverage : 1.0
[3722], Coverage : 1.0
[3728], Coverage : 1.0
[3729], Coverage : 1.0
[3730], Coverage : 1.0
[3731], Coverage : 1.0
[3755], Coverage : 1.0
[3798], Coverage : 1.0
[3809], Coverage : 1.0
[3814], Coverage : 1.0
[3815], Coverage : 1.0
[3875], Coverage : 1.0
[3889], Coverage : 1.0
[3894], Coverage : 1.0
[3895], Coverage : 1.0
[3903], Coverage : 1.0
[3914], Coverage : 1.0
[3950], Coverage : 1.0
[3962], Coverage : 1.0
[4001], Coverage : 1.0
[4011], Coverage : 1.0
[4021], Coverage : 1.0
[4025], Coverage : 1.0
[4026], Coverage : 1.0
[4028], Coverage : 1.0
[4029], Coverage : 1.0
[4030], Coverage : 1.0
[4071], Coverage : 1.0
[4137], Coverage : 1.0
[4138], Coverage : 1.0
[4139], Coverage : 1.0
[4145], Coverage : 1.0
[4156], Coverage : 1.0
[4157], Coverage : 1.0
[4162], Coverage : 1.0
[4165], Coverage : 1.0
[4167], Coverage : 1.0
[4190], Coverage : 1.0
[4191], Coverage : 1.0
[4224], Coverage : 1.0
[4229], Coverage : 1.0
[4235], Coverage : 1.0
[4238], Coverage : 1.0
[4263], Coverage : 1.0
[4271], Coverage : 1.0
[4336], Coverage : 1.0
[4340], Coverage : 1.0
[4341], Coverage : 1.0
[4342], Coverage : 1.0
[4358], Coverage : 1.0
[4363], Coverage : 1.0
[4365], Coverage : 1.0
[4370], Coverage : 1.0
[4373], Coverage : 1.0
[4376], Coverage : 1.0
[4377], Coverage : 1.0
[4409], Coverage : 1.0
[4438], Coverage : 1.0
[4450], Coverage : 1.0
[4462], Coverage : 1.0
[4463], Coverage : 1.0
[4464], Coverage : 1.0
[4466], Coverage : 1.0
[4477], Coverage : 1.0
[4478], Coverage : 1.0
[4479], Coverage : 1.0
[4488], Coverage : 1.0
[4490], Coverage : 1.0
[4491], Coverage : 1.0
[4492], Coverage : 1.0
[4493], Coverage : 1.0
[4495], Coverage : 1.0
[4496], Coverage : 1.0
[4497], Coverage : 1.0
[4498], Coverage : 1.0
[4501], Coverage : 1.0
[4509], Coverage : 1.0
[4517], Coverage : 1.0
[4536], Coverage : 1.0
[4544], Coverage : 1.0
[4588], Coverage : 1.0
[4629], Coverage : 1.0
[4631], Coverage : 1.0
[4632], Coverage : 1.0
[4645], Coverage : 1.0
[4646], Coverage : 1.0
[4647], Coverage : 1.0
[4648], Coverage : 1.0
[4649], Coverage : 1.0
[4650], Coverage : 1.0
[4651], Coverage : 1.0
[4677], Coverage : 1.0
[4690], Coverage : 1.0
[4755], Coverage : 1.0
[4756], Coverage : 1.0
[4757], Coverage : 1.0
[4782], Coverage : 1.0
[4797], Coverage : 1.0
[4808], Coverage : 1.0
[4823], Coverage : 1.0
[4842], Coverage : 1.0
[4846], Coverage : 1.0
[4859], Coverage : 1.0
[4865], Coverage : 1.0
[4871], Coverage : 1.0
[4872], Coverage : 1.0
[4878], Coverage : 1.0
[4879], Coverage : 1.0
[4898], Coverage : 1.0
[4952], Coverage : 1.0
[4953], Coverage : 1.0
[4998], Coverage : 1.0
[4999], Coverage : 1.0
[5007], Coverage : 1.0
[5057], Coverage : 1.0
[5065], Coverage : 1.0
[5104], Coverage : 1.0
[5192], Coverage : 1.0
[5193], Coverage : 1.0
[5196], Coverage : 1.0
[5389], Coverage : 1.0
[5390], Coverage : 1.0
[5419], Coverage : 1.0
[5449], Coverage : 1.0
[5527], Coverage : 1.0
[5590], Coverage : 1.0
[5625], Coverage : 1.0
[5639], Coverage : 1.0
[5646], Coverage : 1.0
[5656], Coverage : 1.0
[5660], Coverage : 1.0
[5674], Coverage : 1.0
[5742], Coverage : 1.0
[5770], Coverage : 1.0
[5771], Coverage : 1.0
[5772], Coverage : 1.0
[5773], Coverage : 1.0
[5774], Coverage : 1.0
[5775], Coverage : 1.0
[5796], Coverage : 1.0
[5885], Coverage : 1.0
[5934], Coverage : 1.0
[5961], Coverage : 1.0
[5962], Coverage : 1.0
[5978], Coverage : 1.0
[6020], Coverage : 1.0
[6032], Coverage : 1.0
[6060], Coverage : 1.0
[6061], Coverage : 1.0
[6105], Coverage : 1.0
[6136], Coverage : 1.0
[6166], Coverage : 1.0
[6198], Coverage : 1.0
[6208], Coverage : 1.0
[6276], Coverage : 1.0
[6401], Coverage : 1.0
[6489], Coverage : 1.0
[6490], Coverage : 1.0
[6526], Coverage : 1.0
[6537], Coverage : 1.0
[6539], Coverage : 1.0
[6653], Coverage : 1.0
[6655], Coverage : 1.0
[6702], Coverage : 1.0
[6707], Coverage : 1.0
[6715], Coverage : 1.0
[6801], Coverage : 1.0
[6825], Coverage : 1.0
[6844], Coverage : 1.0
[6929], Coverage : 1.0
[7000], Coverage : 1.0
[7042], Coverage : 1.0
[7051], Coverage : 1.0
[7057], Coverage : 1.0
[7092], Coverage : 1.0
[7133], Coverage : 1.0
[7134], Coverage : 1.0
[7159], Coverage : 1.0
[7160], Coverage : 1.0
[7187], Coverage : 1.0
[7245], Coverage : 1.0
[7247], Coverage : 1.0
[7248], Coverage : 1.0
[7269], Coverage : 1.0
[7281], Coverage : 1.0
[7299], Coverage : 1.0
[7311], Coverage : 1.0
[7335], Coverage : 1.0
[7407], Coverage : 1.0
[7413], Coverage : 1.0
[7436], Coverage : 1.0
[7561], Coverage : 1.0
[7606], Coverage : 1.0
[7672], Coverage : 1.0
[7693], Coverage : 1.0
[7699], Coverage : 1.0
[7777], Coverage : 1.0
[7827], Coverage : 1.0
[7878], Coverage : 1.0
[7924], Coverage : 1.0
[7959], Coverage : 1.0
[8057], Coverage : 1.0
[8081], Coverage : 1.0
[8082], Coverage : 1.0
[8426], Coverage : 1.0
[8460], Coverage : 1.0
[8515], Coverage : 1.0
[8525], Coverage : 1.0
[8585], Coverage : 1.0
[8590], Coverage : 1.0
[8595], Coverage : 1.0
[8597], Coverage : 1.0
[8601], Coverage : 1.0
[8687], Coverage : 1.0
[8747], Coverage : 1.0
[8789], Coverage : 1.0
[8814], Coverage : 1.0
[8860], Coverage : 1.0
[8935], Coverage : 1.0
[8948], Coverage : 1.0
[8950], Coverage : 1.0
[9162], Coverage : 1.0
[9521], Coverage : 1.0
[9531], Coverage : 1.0
[9539], Coverage : 1.0
[9541], Coverage : 1.0
[9559], Coverage : 1.0
[6], Coverage : 0.9767441860465116
[25], Coverage : 0.9767441860465116
[26], Coverage : 0.9767441860465116
[315], Coverage : 0.9767441860465116
[490], Coverage : 0.9767441860465116
[661], Coverage : 0.9767441860465116
[762], Coverage : 0.9767441860465116
[849], Coverage : 0.9767441860465116
[850], Coverage : 0.9767441860465116
[909], Coverage : 0.9767441860465116
[942], Coverage : 0.9767441860465116
[943], Coverage : 0.9767441860465116
[949], Coverage : 0.9767441860465116
[955], Coverage : 0.9767441860465116
[1022], Coverage : 0.9767441860465116
[1033], Coverage : 0.9767441860465116
[1069], Coverage : 0.9767441860465116
[1118], Coverage : 0.9767441860465116
[1153], Coverage : 0.9767441860465116
[1257], Coverage : 0.9767441860465116
[1268], Coverage : 0.9767441860465116
[1301], Coverage : 0.9767441860465116
[1381], Coverage : 0.9767441860465116
[1428], Coverage : 0.9767441860465116
[1549], Coverage : 0.9767441860465116
[1596], Coverage : 0.9767441860465116
[1640], Coverage : 0.9767441860465116
[1772], Coverage : 0.9767441860465116
[1885], Coverage : 0.9767441860465116
[1892], Coverage : 0.9767441860465116
[1923], Coverage : 0.9767441860465116
[1964], Coverage : 0.9767441860465116
[2388], Coverage : 0.9767441860465116
[2526], Coverage : 0.9767441860465116
[2579], Coverage : 0.9767441860465116
[2583], Coverage : 0.9767441860465116
[2584], Coverage : 0.9767441860465116
[2732], Coverage : 0.9767441860465116
[2971], Coverage : 0.9767441860465116
[3221], Coverage : 0.9767441860465116
[3269], Coverage : 0.9767441860465116
[3276], Coverage : 0.9767441860465116
[3292], Coverage : 0.9767441860465116
[3312], Coverage : 0.9767441860465116
[3316], Coverage : 0.9767441860465116
[3326], Coverage : 0.9767441860465116
[3356], Coverage : 0.9767441860465116
[3477], Coverage : 0.9767441860465116
[3488], Coverage : 0.9767441860465116
[3493], Coverage : 0.9767441860465116
[3494], Coverage : 0.9767441860465116
[3520], Coverage : 0.9767441860465116
[3545], Coverage : 0.9767441860465116
[3547], Coverage : 0.9767441860465116
[3608], Coverage : 0.9767441860465116
[3623], Coverage : 0.9767441860465116
[3632], Coverage : 0.9767441860465116
[3668], Coverage : 0.9767441860465116
[3669], Coverage : 0.9767441860465116
[3681], Coverage : 0.9767441860465116
[3807], Coverage : 0.9767441860465116
[3906], Coverage : 0.9767441860465116
[3918], Coverage : 0.9767441860465116
[3940], Coverage : 0.9767441860465116
[3951], Coverage : 0.9767441860465116
[3987], Coverage : 0.9767441860465116
[4019], Coverage : 0.9767441860465116
[4024], Coverage : 0.9767441860465116
[4027], Coverage : 0.9767441860465116
[4065], Coverage : 0.9767441860465116
[4100], Coverage : 0.9767441860465116
[4116], Coverage : 0.9767441860465116
[4117], Coverage : 0.9767441860465116
[4135], Coverage : 0.9767441860465116
[4196], Coverage : 0.9767441860465116
[4248], Coverage : 0.9767441860465116
[4375], Coverage : 0.9767441860465116
[4449], Coverage : 0.9767441860465116
[4451], Coverage : 0.9767441860465116
[4452], Coverage : 0.9767441860465116
[4603], Coverage : 0.9767441860465116
[4668], Coverage : 0.9767441860465116
[4673], Coverage : 0.9767441860465116
[4674], Coverage : 0.9767441860465116
[4675], Coverage : 0.9767441860465116
[4723], Coverage : 0.9767441860465116
[4861], Coverage : 0.9767441860465116
[4978], Coverage : 0.9767441860465116
[4987], Coverage : 0.9767441860465116
[5059], Coverage : 0.9767441860465116
[5101], Coverage : 0.9767441860465116
[5166], Coverage : 0.9767441860465116
[5184], Coverage : 0.9767441860465116
[5288], Coverage : 0.9767441860465116
[5532], Coverage : 0.9767441860465116
[5593], Coverage : 0.9767441860465116
[5614], Coverage : 0.9767441860465116
[5619], Coverage : 0.9767441860465116
[5620], Coverage : 0.9767441860465116
[5640], Coverage : 0.9767441860465116
[5641], Coverage : 0.9767441860465116
[5642], Coverage : 0.9767441860465116
[5643], Coverage : 0.9767441860465116
[5654], Coverage : 0.9767441860465116
[5677], Coverage : 0.9767441860465116
[5684], Coverage : 0.9767441860465116
[5694], Coverage : 0.9767441860465116
[5719], Coverage : 0.9767441860465116
[5720], Coverage : 0.9767441860465116
[5822], Coverage : 0.9767441860465116
[5911], Coverage : 0.9767441860465116
[6064], Coverage : 0.9767441860465116
[6254], Coverage : 0.9767441860465116
[6255], Coverage : 0.9767441860465116
[6262], Coverage : 0.9767441860465116
[6318], Coverage : 0.9767441860465116
[6341], Coverage : 0.9767441860465116
[6484], Coverage : 0.9767441860465116
[6518], Coverage : 0.9767441860465116
[6519], Coverage : 0.9767441860465116
[6525], Coverage : 0.9767441860465116
[6551], Coverage : 0.9767441860465116
[6569], Coverage : 0.9767441860465116
[6575], Coverage : 0.9767441860465116
[6576], Coverage : 0.9767441860465116
[6736], Coverage : 0.9767441860465116
[6901], Coverage : 0.9767441860465116
[6976], Coverage : 0.9767441860465116
[6977], Coverage : 0.9767441860465116
[7054], Coverage : 0.9767441860465116
[7084], Coverage : 0.9767441860465116
[7127], Coverage : 0.9767441860465116
[7184], Coverage : 0.9767441860465116
[7225], Coverage : 0.9767441860465116
[7273], Coverage : 0.9767441860465116
[7336], Coverage : 0.9767441860465116
[7337], Coverage : 0.9767441860465116
[7394], Coverage : 0.9767441860465116
[7569], Coverage : 0.9767441860465116
[7570], Coverage : 0.9767441860465116
[7605], Coverage : 0.9767441860465116
[7789], Coverage : 0.9767441860465116
[7900], Coverage : 0.9767441860465116
[8001], Coverage : 0.9767441860465116
[8045], Coverage : 0.9767441860465116
[8197], Coverage : 0.9767441860465116
[8645], Coverage : 0.9767441860465116
[8822], Coverage : 0.9767441860465116
[8956], Coverage : 0.9767441860465116
[8966], Coverage : 0.9767441860465116
[9268], Coverage : 0.9767441860465116
[9501], Coverage : 0.9767441860465116
[153], Coverage : 0.9534883720930233
[158], Coverage : 0.9534883720930233
[174], Coverage : 0.9534883720930233
[182], Coverage : 0.9534883720930233
[217], Coverage : 0.9534883720930233
[234], Coverage : 0.9534883720930233
[235], Coverage : 0.9534883720930233
[253], Coverage : 0.9534883720930233
[265], Coverage : 0.9534883720930233
[299], Coverage : 0.9534883720930233
[338], Coverage : 0.9534883720930233
[605], Coverage : 0.9534883720930233
[628], Coverage : 0.9534883720930233
[662], Coverage : 0.9534883720930233
[663], Coverage : 0.9534883720930233
[676], Coverage : 0.9534883720930233
[727], Coverage : 0.9534883720930233
[753], Coverage : 0.9534883720930233
[760], Coverage : 0.9534883720930233
[774], Coverage : 0.9534883720930233
[775], Coverage : 0.9534883720930233
[810], Coverage : 0.9534883720930233
[838], Coverage : 0.9534883720930233
[839], Coverage : 0.9534883720930233
[851], Coverage : 0.9534883720930233
[852], Coverage : 0.9534883720930233
[853], Coverage : 0.9534883720930233
[860], Coverage : 0.9534883720930233
[872], Coverage : 0.9534883720930233
[908], Coverage : 0.9534883720930233
[910], Coverage : 0.9534883720930233
[921], Coverage : 0.9534883720930233
[991], Coverage : 0.9534883720930233
[993], Coverage : 0.9534883720930233
[994], Coverage : 0.9534883720930233
[1010], Coverage : 0.9534883720930233
[1028], Coverage : 0.9534883720930233
[1035], Coverage : 0.9534883720930233
[1038], Coverage : 0.9534883720930233
[1042], Coverage : 0.9534883720930233
[1070], Coverage : 0.9534883720930233
[1078], Coverage : 0.9534883720930233
[1143], Coverage : 0.9534883720930233
[1147], Coverage : 0.9534883720930233
[1197], Coverage : 0.9534883720930233
[1216], Coverage : 0.9534883720930233
[1225], Coverage : 0.9534883720930233
[1245], Coverage : 0.9534883720930233
[1266], Coverage : 0.9534883720930233
[1275], Coverage : 0.9534883720930233
[1279], Coverage : 0.9534883720930233
[1283], Coverage : 0.9534883720930233
[1322], Coverage : 0.9534883720930233
[1333], Coverage : 0.9534883720930233
[1357], Coverage : 0.9534883720930233
[1402], Coverage : 0.9534883720930233
[1409], Coverage : 0.9534883720930233
[1415], Coverage : 0.9534883720930233
[1537], Coverage : 0.9534883720930233
[1538], Coverage : 0.9534883720930233
[1539], Coverage : 0.9534883720930233
[1585], Coverage : 0.9534883720930233
[1649], Coverage : 0.9534883720930233
[1679], Coverage : 0.9534883720930233
[1700], Coverage : 0.9534883720930233
[1723], Coverage : 0.9534883720930233
[1753], Coverage : 0.9534883720930233
[1856], Coverage : 0.9534883720930233
[1858], Coverage : 0.9534883720930233
[1884], Coverage : 0.9534883720930233
[1886], Coverage : 0.9534883720930233
[1887], Coverage : 0.9534883720930233
[1888], Coverage : 0.9534883720930233
[1889], Coverage : 0.9534883720930233
[1894], Coverage : 0.9534883720930233
[1900], Coverage : 0.9534883720930233
[1928], Coverage : 0.9534883720930233
[1929], Coverage : 0.9534883720930233
[1930], Coverage : 0.9534883720930233
[1931], Coverage : 0.9534883720930233
[1947], Coverage : 0.9534883720930233
[1961], Coverage : 0.9534883720930233
[1963], Coverage : 0.9534883720930233
[1994], Coverage : 0.9534883720930233
[1999], Coverage : 0.9534883720930233
[2052], Coverage : 0.9534883720930233
[2061], Coverage : 0.9534883720930233
[2102], Coverage : 0.9534883720930233
[2103], Coverage : 0.9534883720930233
[2132], Coverage : 0.9534883720930233
[2140], Coverage : 0.9534883720930233
[2160], Coverage : 0.9534883720930233
[2169], Coverage : 0.9534883720930233
[2175], Coverage : 0.9534883720930233
[2200], Coverage : 0.9534883720930233
[2217], Coverage : 0.9534883720930233
[2248], Coverage : 0.9534883720930233
[2255], Coverage : 0.9534883720930233
[2269], Coverage : 0.9534883720930233
[2270], Coverage : 0.9534883720930233
[2282], Coverage : 0.9534883720930233
[2287], Coverage : 0.9534883720930233
[2289], Coverage : 0.9534883720930233
[2300], Coverage : 0.9534883720930233
[2304], Coverage : 0.9534883720930233
[2306], Coverage : 0.9534883720930233
[2308], Coverage : 0.9534883720930233
[2310], Coverage : 0.9534883720930233
[2311], Coverage : 0.9534883720930233
[2318], Coverage : 0.9534883720930233
[2333], Coverage : 0.9534883720930233
[2337], Coverage : 0.9534883720930233
[2362], Coverage : 0.9534883720930233
[2363], Coverage : 0.9534883720930233
[2408], Coverage : 0.9534883720930233
[2413], Coverage : 0.9534883720930233
[2426], Coverage : 0.9534883720930233
[2435], Coverage : 0.9534883720930233
[2440], Coverage : 0.9534883720930233
[2448], Coverage : 0.9534883720930233
[2449], Coverage : 0.9534883720930233
[2540], Coverage : 0.9534883720930233
[2559], Coverage : 0.9534883720930233
[2560], Coverage : 0.9534883720930233
[2574], Coverage : 0.9534883720930233
[2580], Coverage : 0.9534883720930233
[2638], Coverage : 0.9534883720930233
[2692], Coverage : 0.9534883720930233
[2696], Coverage : 0.9534883720930233
[2698], Coverage : 0.9534883720930233
[2777], Coverage : 0.9534883720930233
[2796], Coverage : 0.9534883720930233
[2821], Coverage : 0.9534883720930233
[2822], Coverage : 0.9534883720930233
[2839], Coverage : 0.9534883720930233
[2920], Coverage : 0.9534883720930233
[2926], Coverage : 0.9534883720930233
[2929], Coverage : 0.9534883720930233
[2931], Coverage : 0.9534883720930233
[2933], Coverage : 0.9534883720930233
[2946], Coverage : 0.9534883720930233
[2947], Coverage : 0.9534883720930233
[2978], Coverage : 0.9534883720930233
[2992], Coverage : 0.9534883720930233
[3003], Coverage : 0.9534883720930233
[3004], Coverage : 0.9534883720930233
[3011], Coverage : 0.9534883720930233
[3013], Coverage : 0.9534883720930233
[3016], Coverage : 0.9534883720930233
[3019], Coverage : 0.9534883720930233
[3029], Coverage : 0.9534883720930233
[3030], Coverage : 0.9534883720930233
[3039], Coverage : 0.9534883720930233
[3044], Coverage : 0.9534883720930233
[3048], Coverage : 0.9534883720930233
[3053], Coverage : 0.9534883720930233
[3056], Coverage : 0.9534883720930233
[3058], Coverage : 0.9534883720930233
[3077], Coverage : 0.9534883720930233
[3078], Coverage : 0.9534883720930233
[3104], Coverage : 0.9534883720930233
[3105], Coverage : 0.9534883720930233
[3117], Coverage : 0.9534883720930233
[3134], Coverage : 0.9534883720930233
[3141], Coverage : 0.9534883720930233
[3158], Coverage : 0.9534883720930233
[3159], Coverage : 0.9534883720930233
[3171], Coverage : 0.9534883720930233
[3188], Coverage : 0.9534883720930233
[3197], Coverage : 0.9534883720930233
[3202], Coverage : 0.9534883720930233
[3208], Coverage : 0.9534883720930233
[3210], Coverage : 0.9534883720930233
[3211], Coverage : 0.9534883720930233
[3251], Coverage : 0.9534883720930233
[3253], Coverage : 0.9534883720930233
[3254], Coverage : 0.9534883720930233
[3255], Coverage : 0.9534883720930233
[3256], Coverage : 0.9534883720930233
[3258], Coverage : 0.9534883720930233
[3259], Coverage : 0.9534883720930233
[3260], Coverage : 0.9534883720930233
[3261], Coverage : 0.9534883720930233
[3278], Coverage : 0.9534883720930233
[3309], Coverage : 0.9534883720930233
[3324], Coverage : 0.9534883720930233
[3340], Coverage : 0.9534883720930233
[3342], Coverage : 0.9534883720930233
[3346], Coverage : 0.9534883720930233
[3355], Coverage : 0.9534883720930233
[3357], Coverage : 0.9534883720930233
[3363], Coverage : 0.9534883720930233
[3382], Coverage : 0.9534883720930233
[3383], Coverage : 0.9534883720930233
[3395], Coverage : 0.9534883720930233
[3417], Coverage : 0.9534883720930233
[3429], Coverage : 0.9534883720930233
[3452], Coverage : 0.9534883720930233
[3455], Coverage : 0.9534883720930233
[3459], Coverage : 0.9534883720930233
[3478], Coverage : 0.9534883720930233
[3479], Coverage : 0.9534883720930233
[3480], Coverage : 0.9534883720930233
[3481], Coverage : 0.9534883720930233
[3505], Coverage : 0.9534883720930233
[3513], Coverage : 0.9534883720930233
[3524], Coverage : 0.9534883720930233
[3546], Coverage : 0.9534883720930233
[3550], Coverage : 0.9534883720930233
[3702], Coverage : 0.9534883720930233
[3703], Coverage : 0.9534883720930233
[3719], Coverage : 0.9534883720930233
[3723], Coverage : 0.9534883720930233
[3724], Coverage : 0.9534883720930233
[3725], Coverage : 0.9534883720930233
[3733], Coverage : 0.9534883720930233
[3785], Coverage : 0.9534883720930233
[3799], Coverage : 0.9534883720930233
[3804], Coverage : 0.9534883720930233
[3806], Coverage : 0.9534883720930233
[3808], Coverage : 0.9534883720930233
[3833], Coverage : 0.9534883720930233
[3834], Coverage : 0.9534883720930233
[3837], Coverage : 0.9534883720930233
[3849], Coverage : 0.9534883720930233
[3854], Coverage : 0.9534883720930233
[3855], Coverage : 0.9534883720930233
[3857], Coverage : 0.9534883720930233
[3864], Coverage : 0.9534883720930233
[3897], Coverage : 0.9534883720930233
[3898], Coverage : 0.9534883720930233
[3942], Coverage : 0.9534883720930233
[3944], Coverage : 0.9534883720930233
[3984], Coverage : 0.9534883720930233
[4009], Coverage : 0.9534883720930233
[4010], Coverage : 0.9534883720930233
[4012], Coverage : 0.9534883720930233
[4014], Coverage : 0.9534883720930233
[4015], Coverage : 0.9534883720930233
[4016], Coverage : 0.9534883720930233
[4017], Coverage : 0.9534883720930233
[4020], Coverage : 0.9534883720930233
[4041], Coverage : 0.9534883720930233
[4069], Coverage : 0.9534883720930233
[4078], Coverage : 0.9534883720930233
[4080], Coverage : 0.9534883720930233
[4101], Coverage : 0.9534883720930233
[4107], Coverage : 0.9534883720930233
[4110], Coverage : 0.9534883720930233
[4143], Coverage : 0.9534883720930233
[4144], Coverage : 0.9534883720930233
[4153], Coverage : 0.9534883720930233
[4161], Coverage : 0.9534883720930233
[4166], Coverage : 0.9534883720930233
[4188], Coverage : 0.9534883720930233
[4189], Coverage : 0.9534883720930233
[4192], Coverage : 0.9534883720930233
[4201], Coverage : 0.9534883720930233
[4206], Coverage : 0.9534883720930233
[4221], Coverage : 0.9534883720930233
[4225], Coverage : 0.9534883720930233
[4233], Coverage : 0.9534883720930233
[4234], Coverage : 0.9534883720930233
[4270], Coverage : 0.9534883720930233
[4312], Coverage : 0.9534883720930233
[4319], Coverage : 0.9534883720930233
[4331], Coverage : 0.9534883720930233
[4338], Coverage : 0.9534883720930233
[4339], Coverage : 0.9534883720930233
[4345], Coverage : 0.9534883720930233
[4361], Coverage : 0.9534883720930233
[4374], Coverage : 0.9534883720930233
[4378], Coverage : 0.9534883720930233
[4379], Coverage : 0.9534883720930233
[4380], Coverage : 0.9534883720930233
[4391], Coverage : 0.9534883720930233
[4392], Coverage : 0.9534883720930233
[4393], Coverage : 0.9534883720930233
[4404], Coverage : 0.9534883720930233
[4418], Coverage : 0.9534883720930233
[4443], Coverage : 0.9534883720930233
[4465], Coverage : 0.9534883720930233
[4468], Coverage : 0.9534883720930233
[4470], Coverage : 0.9534883720930233
[4472], Coverage : 0.9534883720930233
[4473], Coverage : 0.9534883720930233
[4484], Coverage : 0.9534883720930233
[4499], Coverage : 0.9534883720930233
[4504], Coverage : 0.9534883720930233
[4507], Coverage : 0.9534883720930233
[4508], Coverage : 0.9534883720930233
[4519], Coverage : 0.9534883720930233
[4520], Coverage : 0.9534883720930233
[4521], Coverage : 0.9534883720930233
[4530], Coverage : 0.9534883720930233
[4537], Coverage : 0.9534883720930233
[4545], Coverage : 0.9534883720930233
[4546], Coverage : 0.9534883720930233
[4552], Coverage : 0.9534883720930233
[4553], Coverage : 0.9534883720930233
[4554], Coverage : 0.9534883720930233
[4570], Coverage : 0.9534883720930233
[4571], Coverage : 0.9534883720930233
[4580], Coverage : 0.9534883720930233
[4582], Coverage : 0.9534883720930233
[4607], Coverage : 0.9534883720930233
[4608], Coverage : 0.9534883720930233
[4609], Coverage : 0.9534883720930233
[4610], Coverage : 0.9534883720930233
[4612], Coverage : 0.9534883720930233
[4613], Coverage : 0.9534883720930233
